project_id|project_name|status|total_commitment_usd|approval_date|end_date|sector|theme|borrower|implementing_agency|country|project_url|source
P003161|Integrated Family Farming Project|Closed|11.5|1973-01-16 00:00:00+00:00|1979-12-31|(Historic)Agriculture adjustment|Unknown|||Republic of Zambia||World Bank
P003160|Kariba North Power Project|Closed|40.0|1970-07-07 00:00:00+00:00|1980-06-30|(Historic)Hydro|Unknown|||Republic of Zambia||World Bank
P003158|Agriculture / Tobacco Project|Closed|5.5|1970-05-28 00:00:00+00:00|1976-12-31|(Historic)Agriculture adjustment|Unknown|||Republic of Zambia||World Bank
P003159|Education Project (02)|Closed|5.3|1969-11-18 00:00:00+00:00|1979-03-31|Tertiary Education|Unknown|||Republic of Zambia||World Bank
P003154|Livestock Project|Closed|2.5|1969-06-17 00:00:00+00:00|1974-11-30|Livestock|Unknown|||Republic of Zambia||World Bank
P003156|Education Project (01)|Closed|17.4|1969-04-08 00:00:00+00:00|1979-07-11|Secondary Education|Unknown|||Republic of Zambia||World Bank
P003155|Forestry Project|Closed|5.3|1968-09-24 00:00:00+00:00|1977-06-30|Forestry|Unknown|||Republic of Zambia||World Bank
P003157|Highway Project (02)|Closed|10.7|1968-09-24 00:00:00+00:00|1971-12-31|(Historic)Highways|Unknown|||Republic of Zambia||World Bank
P003153|Highway Project (01)|Closed|17.5|1966-10-04 00:00:00+00:00|1971-12-31|(Historic)Highways|Unknown|||Republic of Zambia||World Bank
P003152|POWER II|Closed|3.8|1964-10-02 00:00:00+00:00||(Historic)Distribution and transmission|Unknown|||Republic of Zambia||World Bank
P003151|Railway Improvement Project|Closed|9.5|1958-06-16 00:00:00+00:00|1961-06-30|Railways|Unknown|||Republic of Zambia||World Bank
P003150|POWER I|Closed|40.0|1956-06-21 00:00:00+00:00||(Historic)Hydro|Unknown|||Republic of Zambia||World Bank
P003149|Railway Project (01)|Closed|14.0|1953-03-11 00:00:00+00:00|1955-03-31|Railways|Unknown|||Republic of Zambia||World Bank
P127254|Zambia Strengthening Climate Resilience (PPCR Phase II)|Closed|36.0||2022-12-31|Other Information and Communications Technologies; Other Agriculture, Fishing and Forestry; Other Water Supply, Sanitation and Waste Management; Other Public Administration; Other Transportation|Environment and Natural Resource Management; Urban and Rural Development; Social Development and Protection; Finance|||Republic of Zambia||World Bank
P159717|EITI Post Compliance Implementation Support III|Closed|0.35||2020-03-31|Mining|Public Sector Management|||Republic of Zambia||World Bank
P003257|Population Project|Dropped|15.0|||Unknown|Unknown|||Republic of Zambia||World Bank
P181651|SCALING-UP SHOCK RESPONSIVE SOCIAL PROTECTION PROJECT ADDITIONAL FINANCING|Active|13.375664|||Social Protection|Unknown|||Republic of Zambia||World Bank
P147659|Support for Development of MIS and Single Registry of Beneficiaries|Active|1.0|||Public Administration - Water, Sanitation and Waste Management; Water Supply|Social Development and Protection|||Republic of Zambia||World Bank
P509550|Zambia Water Supply and Sanitation Services in Growth Centers Program|Pipeline|0.0|||Unknown|Unknown|||Republic of Zambia||World Bank
P174012|Enhancing Early Learning Project|Active|39.009854||2025-06-30|Public Administration - Education; Early Childhood Education|Environment and Natural Resource Management; Human Development and Gender; Social Development and Protection|||Republic of Zambia||World Bank
P095193|Support to Decentralization Implementation Program (SUDIP)|Dropped|20.0|||Roads and highways; Other Water Supply, Sanitation and Waste Management; Primary Education; Health; Social Protection|Urban and Rural Development; Social Development and Protection|||Republic of Zambia||World Bank
P169384|Public Sector Governance for Service Delivery Project|Dropped|100.0|||Unknown|Public Sector Management; Private Sector Development|||Republic of Zambia||World Bank
